name,area,address,map_link,lat,lng,rating,drink,note,ig,thumb,date
Coffee Fiel - Kiaf SEOUL 2026 Pop Up,"Samseong 1(il)-dong, Gangnam-gu","Teheran-ro 87-gil, Samseong 1(il)-dong, Gangnam-gu, Seoul",https://maps.app.goo.gl/XPWhg7yJP41EhYu17,37.5118733,127.0591105,4.3,Ethiopia Gedeb Halo Hartume G1 Washed - Iced,"Ethiopia Gedeb Halo Hartume G1 Washed - Iced Had this iced hand drip on my trip to the Kiaf Art Festival. Very bright acidity and clean aftertaste. I thought I would get more of the nutty, Ethiopia flavor that I could smell from the Aroma Display, but still could taste it. Good balance.",https://www.instagram.com/p/Dc5i5_SGZ5W/?utm_source=ig_web_copy_link&stkn=MzRlODBiNWFlZA==,images/coffee-fiel-kiaf-seoul-2026-pop-up-2026-09-05-1.jpg | images/coffee-fiel-kiaf-seoul-2026-pop-up-2026-09-05-2.jpg | images/coffee-fiel-kiaf-seoul-2026-pop-up-2026-09-05-3.jpg | images/coffee-fiel-kiaf-seoul-2026-pop-up-2026-09-05-4.jpg | images/coffee-fiel-kiaf-seoul-2026-pop-up-2026-09-05-5.jpg | images/coffee-fiel-kiaf-seoul-2026-pop-up-2026-09-05-6.jpg | images/coffee-fiel-kiaf-seoul-2026-pop-up-2026-09-05-7.jpg,2026-09-05
Cafe Marie,"Sinsa-dong, Gangnam-gu","45 Apgujeong-ro 34-gil, Gangnam District, Seoul, South Korea",https://maps.app.goo.gl/j9sqK8n8MYLeXezEA,37.5263529,127.0306863,4.5,Cafe Latte Ristretto - Hot,"Cafe Latte Ristretto - Hot Warm, nutty, great mouthfeel and somehow tastes better because I know the guy behind the drink. It’s as I remembered it from before my US trip. Awesome latte.",https://www.instagram.com/p/Dc5imVFGaBg/?utm_source=ig_web_copy_link&stkn=MzRlODBiNWFlZA==,images/cafe-marie-2026-09-05-1.jpg | images/cafe-marie-2026-09-05-2.jpg,2026-09-05
Devoción,"Brooklyn, Kings County","142 Grand Street, Brooklyn, Kings County, New York",https://maps.app.goo.gl/98TCJttNqSnTtTtb9,40.714774,-73.9622189,3,Special Drip,"Special Drip They are known for only using Columbian sourced beans for all of their blends. Overall, the coffee was not bad, but I’m so sad because I got there 10 minutes before closing and they ran out of the pour over I wanted. The barista felt bad and gave me their drip for free, but it wasn’t mind-blowing or anything. Big asterisk on the rating on this one since I didn’t get their signatures, so I’ll definitely have to come back for some of their better house blends.",https://www.instagram.com/p/Dbc3IqxmY03/?utm_source=ig_web_copy_link&stkn=MzRlODBiNWFlZA==,images/devoci-n-2026-07-31-1.jpg | images/devoci-n-2026-07-31-2.jpg | images/devoci-n-2026-07-31-3.jpg | images/devoci-n-2026-07-31-4.jpg | images/devoci-n-2026-07-31-5.jpg | images/devoci-n-2026-07-31-6.jpg,2026-07-31
Bean Monger Coffee Tavern,"Brooklyn, Kings County","608 Union Street, Brooklyn, Kings County, New York",https://maps.app.goo.gl/MWffuCoCGf3wyfq29,40.6774829,-73.9835486,4.8,Latte,"Latte This was just incredible. I got their salted chocolate chip cookie with their latte, and the pairing was amazing. The overall vibe of the place was so cozy and warm too. I would definitely revisit if I’m in Brooklyn",https://www.instagram.com/p/Dbc2fNtmRK-/?utm_source=ig_web_copy_link&stkn=MzRlODBiNWFlZA==,images/bean-monger-coffee-tavern-2026-07-31-1.jpg | images/bean-monger-coffee-tavern-2026-07-31-2.jpg | images/bean-monger-coffee-tavern-2026-07-31-3.jpg | images/bean-monger-coffee-tavern-2026-07-31-4.jpg | images/bean-monger-coffee-tavern-2026-07-31-5.jpg | images/bean-monger-coffee-tavern-2026-07-31-6.jpg | images/bean-monger-coffee-tavern-2026-07-31-7.jpg,2026-07-31
Fellini Coffee,"Manhattan, New York County","120 Thompson Street, Manhattan, New York County, New York",https://maps.app.goo.gl/6oo9LCn73h3TCMw68,40.7259702,-74.0015764,4.7,Iced Dolce Vita,Iced Dolce Vita I usually don’t order sweet coffee but this was very very good. The caramel syrup goes so well with the espresso- toasty and sweet. Would come again.,https://www.instagram.com/p/DaJ3CwkFpI6/?utm_source=ig_web_copy_link&stkn=MzRlODBiNWFlZA==,images/fellini-coffee-2026-06-29-1.jpg | images/fellini-coffee-2026-06-29-2.jpg | images/fellini-coffee-2026-06-29-3.jpg,2026-06-29
Oslo Coffee Roasters,"Manhattan, New York County","236 W 10th St, New York, NY 10014",https://maps.app.goo.gl/amTbtxYndPvQWaSq8,40.7337975,-74.0054685,4,Iced Americano - Odin Blend (Brazil-Sumatra-Guatemala-Kenya),"Iced Americano - Odin Blend (Brazil-Sumatra-Guatemala-Kenya) Americano had a very distinct acidity that was surprisingly very fruity, overall good balance. I really liked the interior too",https://www.instagram.com/p/DaDy2L-mWAx/?utm_source=ig_web_copy_link&stkn=MzRlODBiNWFlZA==,images/oslo-coffee-roasters-2026-06-26-1.jpg | images/oslo-coffee-roasters-2026-06-26-2.jpg | images/oslo-coffee-roasters-2026-06-26-3.jpg | images/oslo-coffee-roasters-2026-06-26-4.jpg | images/oslo-coffee-roasters-2026-06-26-5.jpg | images/oslo-coffee-roasters-2026-06-26-6.jpg | images/oslo-coffee-roasters-2026-06-26-7.jpg,2026-06-26
787 Coffee,"Manhattan, New York County","202 West 10th Street, Manhattan, New York County, New York",https://maps.app.goo.gl/G9C8fFotQgkPzPoh7,40.7339544,-74.0039929,3.5,Iced Latte - Puerto Rico Rum Infused Beans,"Iced Latte - Puerto Rico Rum Infused Beans I loved that they gave the coffee in a pouch! The latte tasted great, nothing too special, but cinnamon-like and good balance. Slightly pricey though, but that’s just Manhattan. Had a great chat with the barista there, she was very sweet explaining all their bean varieties as I shared my experience touring NYC",https://www.instagram.com/p/DaDyNlQmRbO/?utm_source=ig_web_copy_link&stkn=MzRlODBiNWFlZA==,images/787-coffee-2026-06-26-1.jpg | images/787-coffee-2026-06-26-2.jpg | images/787-coffee-2026-06-26-3.jpg | images/787-coffee-2026-06-26-4.jpg | images/787-coffee-2026-06-26-5.jpg | images/787-coffee-2026-06-26-6.jpg | images/787-coffee-2026-06-26-7.jpg,2026-06-26
La Cabra on Laffayette Street,"Manhattan, New York County","284 Lafayette Street, Manhattan, New York County, New York",https://maps.app.goo.gl/ptJfZrwRxPShpcDX7,40.72431,-73.9962,2.5,Potosí Colombia Pink Bourbon Washed,"Bit too diluted for my liking, the aroma is floral and clean. Got a bit bitter toward the end of my drink, and drip coffee was $15 with tax, pretty overpriced imo",https://www.instagram.com/p/DaCWpEHFhn7/?utm_source=ig_web_copy_link&stkn=MzRlODBiNWFlZA==,images/la-cabra-on-laffayette-street-2026-06-26-1.jpg | images/la-cabra-on-laffayette-street-2026-06-26-2.jpg | images/la-cabra-on-laffayette-street-2026-06-26-3.jpg | images/la-cabra-on-laffayette-street-2026-06-26-4.jpg | images/la-cabra-on-laffayette-street-2026-06-26-5.jpg | images/la-cabra-on-laffayette-street-2026-06-26-6.jpg | images/la-cabra-on-laffayette-street-2026-06-26-7.jpg,2026-06-26
MOKAFÉ Coffee House,"Manhattan, New York County","687 8th Avenue, Manhattan, New York County, New York",https://maps.app.goo.gl/xfTUqBP6uYAYNcz76,40.7582851,-73.9894356,2.5,Iced Latte,"Very standard iced latte, ordered it with whole milk. Quite pricey though, but that’s Manhattan for you",https://www.instagram.com/p/DaCWScSluWD/?utm_source=ig_web_copy_link&stkn=MzRlODBiNWFlZA==,images/mokaf-coffee-house-2026-06-26-1.jpg | images/mokaf-coffee-house-2026-06-26-2.jpg | images/mokaf-coffee-house-2026-06-26-3.jpg | images/mokaf-coffee-house-2026-06-26-4.jpg | images/mokaf-coffee-house-2026-06-26-5.jpg,2026-06-26
Marah Coffee Roasters,"Jigok-dong, Giheung-gu","Jisam-ro, Jigok-dong, Giheung-gu, Yongin-si",https://maps.app.goo.gl/XUhboDBaqGvJXcyc6,37.2422004,127.1332265,,,"2-storey coffee roaster house in Giheung, peaceful countryside view run by amazingly heartwarming people. I got to try pouring their Ethiopian Kochere Natural, clean with smooth acidic aftertaste. Interviewed the owner over coffee franchise gentrification in Korea for a documentary!",https://www.instagram.com/p/DZofsHemdLt/?utm_source=ig_web_copy_link&stkn=MzRlODBiNWFlZA==,images/marah-coffee-roasters-2026-06-16-1.jpg | images/marah-coffee-roasters-2026-06-16-2.jpg | images/marah-coffee-roasters-2026-06-16-3.jpg | images/marah-coffee-roasters-2026-06-16-4.jpg | images/marah-coffee-roasters-2026-06-16-5.jpg | images/marah-coffee-roasters-2026-06-16-6.jpg | images/marah-coffee-roasters-2026-06-16-7.jpg | images/marah-coffee-roasters-2026-06-16-8.jpg | images/marah-coffee-roasters-2026-06-16-9.jpg,2026-06-16
